
Test Phase Average Duration: 0:57:38 (HH:MM:SS)

Class report: 
              precision    recall  f1-score       support
alureon        0.283347  0.423333  0.327341    900.000000
banjori        0.999113  1.000000  0.999556    900.000000
bedep          0.499608  0.586667  0.531280    900.000000
ccleaner       0.986478  0.997333  0.991845    900.000000
chinad         0.849394  0.835111  0.840858    900.000000
corebot        0.995739  0.981333  0.988463    900.000000
cryptolocker   0.375094  0.426667  0.390744    900.000000
dircrypt       0.316683  0.271111  0.273852    900.000000
dyre           0.995786  0.997111  0.996445    900.000000
fobber_v1      0.754666  0.919333  0.827124    900.000000
fobber_v2      0.274888  0.291778  0.274535    900.000000
gozi_gpl       0.904251  0.959333  0.930456    900.000000
gozi_luther    0.798924  0.852000  0.822736    900.000000
gozi_nasa      0.639994  0.755333  0.691988    900.000000
gozi_rfc4343   0.761787  0.546667  0.632334    900.000000
kraken_v1      0.763316  0.687778  0.720233    900.000000
kraken_v2      0.489338  0.488222  0.482095    900.000000
locky          0.497395  0.375111  0.420973    900.000000
matsnu         0.870482  0.952222  0.908604    900.000000
murofet_v1     0.960852  0.990000  0.975171    900.000000
murofet_v2     0.761419  0.973556  0.853681    900.000000
murofet_v3     0.997543  0.992444  0.994985    900.000000
necurs         0.634248  0.255111  0.352172    900.000000
nymaim         0.857436  0.844000  0.849642    900.000000
padcrypt       0.932457  0.964222  0.947541    900.000000
pizd           0.761981  0.775556  0.765515    900.000000
proslikefan    0.536475  0.475333  0.498044    900.000000
pushdo         0.867778  0.891111  0.875808    900.000000
pykspa         0.276495  0.212000  0.231161    900.000000
pykspa_noise   0.296414  0.248667  0.256920    900.000000
qadars         0.803588  0.849556  0.823984    900.000000
qakbot         0.658656  0.336000  0.439156    900.000000
ramdo          0.890955  0.991778  0.937985    900.000000
ramnit         0.216178  0.171778  0.182691    900.000000
ranbyus_v1     0.586622  0.599333  0.590831    900.000000
ranbyus_v2     0.611112  0.626222  0.613839    900.000000
rovnix         0.873363  0.840889  0.853066    900.000000
shiotob        0.695662  0.612000  0.648636    900.000000
simda          0.816907  0.856444  0.833554    900.000000
sisron         0.983207  1.000000  0.991525    900.000000
suppobox_1     0.801512  0.805111  0.800285    900.000000
suppobox_2     0.841713  0.954667  0.894352    900.000000
suppobox_3     0.934182  0.986667  0.959414    900.000000
symmi          0.982119  0.998222  0.990091    900.000000
tempedreve     0.419103  0.455111  0.427593    900.000000
tinba          0.432620  0.369778  0.388769    900.000000
vawtrak_v1     0.966134  0.999333  0.982434    900.000000
vawtrak_v2     0.880681  0.885778  0.881457    900.000000
vawtrak_v3     0.823760  0.866222  0.841512    900.000000
zeus-newgoz    0.979720  0.978889  0.979237    900.000000
legit          0.658371  0.616000  0.633516    900.000000
accuracy       0.720946  0.720946  0.720946      0.720946
macro avg      0.721481  0.720946  0.712667  45900.000000
weighted avg   0.721481  0.720946  0.712667  45900.000000
Confusion Matrix: 
              alureon  banjori  bedep  ccleaner  chinad  corebot  \
alureon          1905        0      6         0       0        0   
banjori             0     4500      0         0       0        0   
bedep              42        1   2640         1       4        0   
ccleaner            0        0      0      4488       0        0   
chinad              0        0     45         2    3758        6   
corebot             0        0      0         0       0     4416   
cryptolocker       18        0    193         0      18        0   
dircrypt          560        0    886         0      11        0   
dyre                0        0      0         0       1        0   
fobber_v1           0        0      0         0      16        2   
fobber_v2        1926        0      6         0       0        0   
gozi_gpl            0        0      0         0       1        0   
gozi_luther         1        1      4         0       0        0   
gozi_nasa           1        0      4         0       0        0   
gozi_rfc4343        1        0      7         0       0        0   
kraken_v1           0        0      4         0       2        0   
kraken_v2         364        0     35         0       0        0   
locky               0        0      0         0      16        0   
matsnu              0        0      0         0       0        0   
murofet_v1          0        0      0         0       4        0   
murofet_v2          0        0      0         0       7        0   
murofet_v3          0        0      0         0       1        0   
necurs             21        0     14         0      16        0   
nymaim              3        0      1         0       0        0   
padcrypt            0        0     23         0       3        0   
pizd                0        0      0         0       0        0   
proslikefan       140        0      0         0       0        0   
pushdo             37        0     13         0       0        0   
pykspa            120        0      5         0       1        0   
pykspa_noise      152        0      5         0       1        0   
qadars              3        1     20        16      58        1   
qakbot             72        0    113         0      36        1   
ramdo               0        0      0         0       0        0   
ramnit            710        1    732         0       2        0   
ranbyus_v1          0        0    170         0       6        0   
ranbyus_v2          0        0    170         0      19        0   
rovnix              0        0      0         0       4        0   
shiotob            54        0    232        12     398        0   
simda              29        0      0         0       0        0   
sisron              0        0      0         0       0        0   
suppobox_1          0        0      0         0       0        0   
suppobox_2          0        0      0         0       0        0   
suppobox_3          0        0      0         0       0        0   
symmi               0        0      0         0       0        4   
tempedreve        432        0      1         0       0        0   
tinba             151        0    116         0       2        0   
vawtrak_v1          0        0      0         0       0        0   
vawtrak_v2         10        0      0         0       0        0   
vawtrak_v3         11        0      0         0       0        0   
zeus-newgoz         0        0      3         0      53        5   
legit              30        0      2        31       1        0   

              cryptolocker  dircrypt  dyre  fobber_v1  fobber_v2  gozi_gpl  \
alureon                  1       182     0          0       1319         0   
banjori                  0         0     0          0          0         0   
bedep                  122       726     0          0         49         0   
ccleaner                 0         0     1          0          0         0   
chinad                  21         1     2         27          0         0   
corebot                  0         0     0          1          0         0   
cryptolocker          1920       110     0        174         11        24   
dircrypt               112      1220     0          0        409         0   
dyre                     0         0  4487          0          0         0   
fobber_v1               46         0     0       4137          0         0   
fobber_v2                0       200     0          0       1313         0   
gozi_gpl                 9         0     0          0          0      4317   
gozi_luther              1         8     0          0          0         1   
gozi_nasa                3        12     0          0          0         0   
gozi_rfc4343             5        19     0          0          0        10   
kraken_v1               36         1     0          0          0         0   
kraken_v2               57        77     0          0        276         0   
locky                  425         0     0          1          0        22   
matsnu                   0         1     0          0          0         0   
murofet_v1               5         0     0          0          0        11   
murofet_v2              76         0     0          0          0         1   
murofet_v3               0         0     0          0          0         0   
necurs                 144        27     0         70         17         8   
nymaim                   1         1     0          0          1        55   
padcrypt                10         2     0          5          0         0   
pizd                     2         0     0          0          0         0   
proslikefan             24        18     0          0        103        14   
pushdo                   3        10     0          0         24         0   
pykspa                 273        23     0         12         72         0   
pykspa_noise           246        19     0         10         92         0   
qadars                  24         3     0          0          2         0   
qakbot                 424       211     0        333         40         0   
ramdo                    6         0     0          0          0         2   
ramnit                 131       761     0          0        488         0   
ranbyus_v1             523        58     0        127          0         2   
ranbyus_v2              35       180     0        511          0         1   
rovnix                   0         0     0          5          0       259   
shiotob                 56        28     0         62         56         0   
simda                    3         3     0          0         30         1   
sisron                   0         0     0          0          0         0   
suppobox_1               0         0     0          1          0         0   
suppobox_2               0         0     0          0          0         0   
suppobox_3               0         0     0          0          0         0   
symmi                    0         0     0          4          0         0   
tempedreve              31        28     0          1        253         0   
tinba                  460       132     0         11        122         3   
vawtrak_v1               0         0     0          0          0         0   
vawtrak_v2               0         1     0          0         35         0   
vawtrak_v3               0         0     0          0          8         0   
zeus-newgoz              0         0    14          3          0         0   
legit                    3        13     2          3         17        49   

              gozi_luther  gozi_nasa  gozi_rfc4343  kraken_v1  kraken_v2  \
alureon                 3          1             3          1        239   
banjori                 0          0             0          0          0   
bedep                   2         11            19          3         31   
ccleaner                0          0             0          0          0   
chinad                  1          0             1          2          1   
corebot                 0          0             0          0          0   
cryptolocker            4          3             0         10         22   
dircrypt               13         22            11          5         90   
dyre                    0          0             0          0          0   
fobber_v1               0          0             0          3          1   
fobber_v2               1          0             4          9        211   
gozi_gpl                0          0             0          0          0   
gozi_luther          3834        362           136          0          0   
gozi_nasa             364       3399           355          0          0   
gozi_rfc4343          401       1118          2460          0          0   
kraken_v1               0          0             2       3095       1306   
kraken_v2               0          0             1        855       2197   
locky                   0          0             0         16         16   
matsnu                 29         73            38          0          2   
murofet_v1              0          0             0          0          0   
murofet_v2              0          0             0          0          0   
murofet_v3              0          0             0          0          0   
necurs                  1          2             0          2         68   
nymaim                 14         15            21          0          1   
padcrypt                4          5            20          1          1   
pizd                    1          0             0          0          0   
proslikefan             0          0             1          5         68   
pushdo                 33         26             6          0          8   
pykspa                  3          0             0         16         48   
pykspa_noise            1          1             0         11         53   
qadars                  1          1             1          1          5   
qakbot                  2          0             1          9         22   
ramdo                   0          0             0          1          0   
ramnit                  9         19            23          4         79   
ranbyus_v1              0          2             2          8         19   
ranbyus_v2              4          0             8          4          3   
rovnix                 56        176            90          0          0   
shiotob                 0          1             1          2          7   
simda                   0          0             0          0          9   
sisron                  0          0             0          0          0   
suppobox_1              0          0             0          0          0   
suppobox_2              0          0             0          0          0   
suppobox_3              0          0             0          0          0   
symmi                   0          0             0          0          0   
tempedreve              0          0             0          1         36   
tinba                   4          7             6         15         34   
vawtrak_v1              0          0             0          0          0   
vawtrak_v2              3          0             4          0          1   
vawtrak_v3              8         11            11          0          2   
zeus-newgoz             0          0             0          0          0   
legit                  27         64            37          6         36   

              locky  matsnu  murofet_v1  murofet_v2  murofet_v3  necurs  \
alureon           0       6           0           0           0       0   
banjori           0       0           0           0           0       0   
bedep             0       2           0           0           0       2   
ccleaner          0       0           0           0           0       0   
chinad            7       0           6          31           0       1   
corebot           0       0           0           0           0       0   
cryptolocker    358       2           3         460           0      28   
dircrypt          0       5           0           0           0       1   
dyre              0       0           0           0           1       0   
fobber_v1         2       0           0           1           0       8   
fobber_v2         0       4           0           0           0       1   
gozi_gpl          1       0           7           0           0       0   
gozi_luther       0      24           0           0           0       0   
gozi_nasa         0      98           0           0           0       0   
gozi_rfc4343      0     145           0           0           0       0   
kraken_v1         1       0           0           0           0       0   
kraken_v2        12       0           0           0           0      72   
locky          1688       0          21         237           0     186   
matsnu            0    4285           0           0           0       0   
murofet_v1       11       0        4455           0           3       5   
